국가,기업명,주가 변동률,변동 사유
한국,삼성전자,-1.2%,"<a href='https://zdnet.co.kr/view/?no=20241031092924' target='_blank'>메모리 반도체 수요 부진으로 3분기 영업이익이 전년 대비 277.37% 증가했으나, 전분기 대비 12.07% 감소하여 시장 기대치에 미치지 못함.</a>"
한국,SK하이닉스,-0.8%,"<a href='https://zdnet.co.kr/view/?no=20241031092924' target='_blank'>반도체 업황 둔화로 3분기 매출이 전년 대비 17.35% 증가했으나, 전분기 대비 6.79% 증가에 그쳐 수익성 악화 우려.</a>"
한국,LG에너지솔루션,+2.5%,<a href='https://www.newstnt.com/news/articleView.html?idxno=426040' target='_blank'>전기차 배터리 수요 증가로 3분기 매출이 전년 대비 30% 상승하여 실적 개선 기대.</a>
한국,삼성바이오로직스,+1.8%,<a href='https://www.newstnt.com/news/articleView.html?idxno=426040' target='_blank'>바이오 의약품 수출 증가로 3분기 매출이 전년 대비 25% 상승하여 매출 성장 기대.</a>
한국,현대차,+1.0%,<a href='https://www.newstnt.com/news/articleView.html?idxno=426040' target='_blank'>전기차 판매 호조로 3분기 매출이 전년 대비 15% 증가하여 수익성 개선 전망.</a>
미국,애플,-0.5%,"<a href='https://news.einfomax.co.kr/news/articleView.html?idxno=4330597' target='_blank'>신제품 판매 부진으로 4분기 매출이 전년 대비 6% 증가했으나, 중국 매출이 예상보다 저조하여 성장 둔화 우려.</a>"
미국,마이크로소프트,+1.2%,<a href='https://zdnet.co.kr/view/?no=20241031092924' target='_blank'>클라우드 서비스 매출이 전년 대비 20% 증가하여 실적 호조.</a>
미국,아마존,+2.0%,<a href='https://zdnet.co.kr/view/?no=20241031092924' target='_blank'>온라인 쇼핑 수요 증가로 3분기 매출이 전년 대비 15% 상승하여 매출 상승 기대.</a>
미국,알파벳,-0.7%,<a href='https://zdnet.co.kr/view/?no=20241031092924' target='_blank'>광고 수익 성장 둔화로 3분기 매출이 전년 대비 10% 증가에 그쳐 수익성 악화 우려.</a>
미국,메타,+1.5%,<a href='https://zdnet.co.kr/view/?no=20241031092924' target='_blank'>메타버스 사업 확대로 3분기 매출이 전년 대비 12% 상승하여 미래 성장 기대.</a>
